Date,Category,Campaign Name,Impressions,Clicks,Conversions,Revenue,Cost,Daily Budget,,,,,,,,,,,,,,,
1/12/20,Pets,Pets - Campaign 2,9380,301,11,72.62,79.13,250,,,,,,,,,,,,,,,
1/13/20,Pets,Pets - Campaign 2,9098,242,7,69.72,66.67,250,,,,,,,,,,,,,,,
1/14/20,Pets,Pets - Campaign 2,7775,211,10,80.25,60.46,250,,,,,,,,,,,,,,,
1/15/20,Pets,Pets - Campaign 2,7192,246,11,63.72,71.77,250,,,,,,,,,,,,,,,
1/3/20,Pets,Pets - Campaign 2,10354,272,7,72.41,85.22,250,,,,,,,,,,,,,,,
1/4/20,Pets,Pets - Campaign 2,10291,302,14,107.13,100.14,250,,,,,,,,,,,,,,,
1/5/20,Pets,Pets - Campaign 2,10726,317,14,163.77,102.21,250,,,,,,,,,,,,,,,
1/6/20,Pets,Pets - Campaign 2,9880,257,9,35.81,78.47,250,,,,,,,,,,,,,,,
1/20/20,Pets,Pets - Campaign 2,6595,186,6,68.94,55.86,250,,,,,,,,,,,,,,,
1/21/20,Pets,Pets - Campaign 2,5767,158,5,41.15,47.67,250,,,,,,,,,,,,,,,
1/22/20,Pets,Pets - Campaign 2,5835,182,6,29.9,55.23,250,,,,,,,,,,,,,,,
1/23/20,Pets,Pets - Campaign 2,6103,200,8,0,72.58,250,,,,,,,,,,,,,,,
1/1/20,Pets,Pets - Campaign 2,11473,314,16,131.28,102.09,250,,,,,,,,,,,,,,,
1/8/20,Pets,Pets - Campaign 2,9188,254,7,59.67,70.01,250,,,,,,,,,,,,,,,
1/10/20,Pets,Pets - Campaign 2,7416,192,8,68.02,55,250,,,,,,,,,,,,,,,
1/17/20,Pets,Pets - Campaign 2,7335,210,7,80.88,64.16,250,,,,,,,,,,,,,,,
1/19/20,Pets,Pets - Campaign 2,8430,268,10,101.97,89.2,250,,,,,,,,,,,,,,,
1/24/20,Pets,Pets - Campaign 2,5652,161,6,89.6,50.46,250,,,,,,,,,,,,,,,
1/26/20,Pets,Pets - Campaign 2,5298,171,10,88.67,52.3,250,,,,,,,,,,,,,,,
1/2/20,Pets,Pets - Campaign 2,10995,269,13,66.96,83.08,250,,,,,,,,,,,,,,,
1/7/20,Pets,Pets - Campaign 2,10130,260,11,107.84,78.83,250,,,,,,,,,,,,,,,
1/9/20,Pets,Pets - Campaign 2,8728,228,7,52.57,66.65,250,,,,,,,,,,,,,,,
1/11/20,Pets,Pets - Campaign 2,7322,234,13,103.89,65.07,250,,,,,,,,,,,,,,,
1/16/20,Pets,Pets - Campaign 2,7730,215,6,82.1,65.3,250,,,,,,,,,,,,,,,
1/18/20,Pets,Pets - Campaign 2,8722,236,9,50.57,85.42,250,,,,,,,,,,,,,,,
1/25/20,Pets,Pets - Campaign 2,5789,174,11,62.43,55.66,250,,,,,,,,,,,,,,,
1/28/20,Pets,Pets - Campaign 2,5708,154,10,85.89,49.16,250,,,,,,,,,,,,,,,
1/29/20,Pets,Pets - Campaign 2,5908,178,7,52.57,55.59,250,,,,,,,,,,,,,,,
1/30/20,Pets,Pets - Campaign 2,6561,178,7,42.81,50.44,250,,,,,,,,,,,,,,,
1/31/20,Pets,Pets - Campaign 2,6630,169,8,70.19,46.78,250,,,,,,,,,,,,,,,
2/1/20,Pets,Pets - Campaign 2,8344,176,11,73.8,49.92,250,,,,,,,,,,,,,,,
2/14/20,Pets,Pets - Campaign 2,6975,135,6,43.39,37.34,250,,,,,,,,,,,,,,,
2/15/20,Pets,Pets - Campaign 2,8512,157,5,59.21,43.56,250,,,,,,,,,,,,,,,
2/16/20,Pets,Pets - Campaign 2,8400,185,9,26.19,52.56,250,,,,,,,,,,,,,,,
2/17/20,Pets,Pets - Campaign 2,8303,176,5,23.61,49.42,250,,,,,,,,,,,,,,,
2/6/20,Pets,Pets - Campaign 2,7447,159,9,54.04,47.66,250,,,,,,,,,,,,,,,
2/7/20,Pets,Pets - Campaign 2,8101,164,6,52.18,47.53,250,,,,,,,,,,,,,,,
2/8/20,Pets,Pets - Campaign 2,10936,201,9,82.84,63.36,250,,,,,,,,,,,,,,,
2/9/20,Pets,Pets - Campaign 2,10314,211,10,91.27,63.59,250,,,,,,,,,,,,,,,
