Date,Device,Source,Category,Impressions,Clicks,Conversions,Revenue,Cost,,,,,,
1/1/20,Desktop,PPC,Health,5849,141,3,42.67,29.67,,,,,,
1/1/20,Mobile,PPC,Health,9690,337,7,63,50,,,,,,
1/1/20,Tablet,PPC,Health,1538,39,1,16,6,,,,,,
1/2/20,Desktop,PPC,Health,8321,167,3,33,36,,,,,,
1/2/20,Mobile,PPC,Health,10679,358,8,66,52,,,,,,
1/2/20,Tablet,PPC,Health,1558,37,1,5,5,,,,,,
1/3/20,Desktop,PPC,Health,6825,148,5,49,34,,,,,,
1/3/20,Mobile,PPC,Health,9713,341,8,74,50,,,,,,
1/3/20,Tablet,PPC,Health,1358,36,1,7,5,,,,,,
1/4/20,Desktop,PPC,Health,5165,134,4,64,31,,,,,,
1/4/20,Mobile,PPC,Health,9253,344,9,93,52,,,,,,
1/4/20,Tablet,PPC,Health,1335,34,1,13,5,,,,,,
1/5/20,Desktop,PPC,Health,4711,114,4,46,24,,,,,,
1/5/20,Mobile,PPC,Health,8609,325,8,73,46,,,,,,
1/5/20,Tablet,PPC,Health,1232,28,0,6,4,,,,,,
1/6/20,Desktop,PPC,Health,7310,157,3,42,34,,,,,,
1/6/20,Mobile,PPC,Health,9790,348,9,80,52,,,,,,
1/6/20,Tablet,PPC,Health,1407,37,1,6,5,,,,,,
1/7/20,Desktop,PPC,Health,7948,164,4,47,35,,,,,,
1/7/20,Mobile,PPC,Health,11581,377,9,74,59,,,,,,
1/7/20,Tablet,PPC,Health,1525,38,1,9,6,,,,,,
1/8/20,Desktop,PPC,Health,7576,154,4,46,34,,,,,,
1/8/20,Mobile,PPC,Health,11461,376,7,80,60,,,,,,
1/8/20,Tablet,PPC,Health,1510,37,1,9,6,,,,,,
1/9/20,Desktop,PPC,Health,7338,144,4,45,30,,,,,,
1/9/20,Mobile,PPC,Health,10486,331,8,72,55,,,,,,
1/9/20,Tablet,PPC,Health,1407,34,0,8,5,,,,,,
1/10/20,Desktop,PPC,Health,5871,119,4,45,24,,,,,,
1/10/20,Mobile,PPC,Health,9314,286,7,50,47,,,,,,
1/10/20,Tablet,PPC,Health,1230,30,1,10,4,,,,,,
1/11/20,Desktop,PPC,Health,4922,116,3,39,24,,,,,,
1/11/20,Mobile,PPC,Health,10227,320,7,59,49,,,,,,
1/11/20,Tablet,PPC,Health,1363,33,1,6,4,,,,,,
1/12/20,Desktop,PPC,Health,6507,145,4,43,29,,,,,,
1/12/20,Mobile,PPC,Health,12377,379,8,72,57,,,,,,
1/12/20,Tablet,PPC,Health,1621,39,1,7,5,,,,,,
1/13/20,Desktop,PPC,Health,9922,189,5,64,40,,,,,,
1/13/20,Mobile,PPC,Health,14323,397,9,89,66,,,,,,
1/13/20,Tablet,PPC,Health,1896,39,0,3,6,,,,,,
1/14/20,Desktop,PPC,Health,8916,178,4,57,36,,,,,,
1/14/20,Mobile,PPC,Health,12592,374,8,70,59,,,,,,
1/14/20,Tablet,PPC,Health,1527,33,0,4,5,,,,,,
1/15/20,Desktop,PPC,Health,8321,176,5,56,36,,,,,,
1/15/20,Mobile,PPC,Health,11693,355,9,82,58,,,,,,
1/15/20,Tablet,PPC,Health,1459,34,1,7,5,,,,,,
1/16/20,Desktop,PPC,Health,9243,182,5,46,37,,,,,,
1/16/20,Mobile,PPC,Health,10350,307,7,47,49,,,,,,
1/16/20,Tablet,PPC,Health,1407,30,0,8,5,,,,,,
1/17/20,Desktop,PPC,Health,7361,160,4,40,32,,,,,,
1/17/20,Mobile,PPC,Health,9577,293,8,66,47,,,,,,
1/17/20,Tablet,PPC,Health,1313,28,0,2,4,,,,,,
1/18/20,Desktop,PPC,Health,7547,178,4,49,44,,,,,,
1/18/20,Mobile,PPC,Health,11903,381,9,100,76,,,,,,
1/18/20,Tablet,PPC,Health,1663,39,1,10,8,,,,,,
1/19/20,Desktop,PPC,Health,5981,142,5,58,29,,,,,,
1/19/20,Mobile,PPC,Health,11323,369,9,79,60,,,,,,
1/19/20,Tablet,PPC,Health,1435,35,0,5,5,,,,,,
1/20/20,Desktop,PPC,Health,7837,176,5,50,35,,,,,,
1/20/20,Mobile,PPC,Health,12240,376,9,78,59,,,,,,
1/20/20,Tablet,PPC,Health,1524,33,0,5,4,,,,,,
1/21/20,Desktop,PPC,Health,8403,179,5,46,37,,,,,,
1/21/20,Mobile,PPC,Health,12746,385,10,100,63,,,,,,
1/21/20,Tablet,PPC,Health,1463,33,0,3,5,,,,,,
1/22/20,Desktop,PPC,Health,9496,209,5,51,44,,,,,,
1/22/20,Mobile,PPC,Health,13604,407,10,99,68,,,,,,
