CustomerID,Device,Medium,DateCohort,Category,TrialPaymentPayUSDAmt,TrailPaymentRefUSDAmt,BP01SubPaymtPayUSDAmt,BP01SubPaymtRefUSDAmt,BP02SubPaymtPayUSDAmt,BP02SubPaymtRefUSDAmt,BP03SubPaymtPayUSDAmt,BP03SubPaymtRefUSDAmt,BP04SubPaymtPayUSDAmt,BP04SubPaymtRefUSDAmt,BP05SubPaymtPayUSDAmt,BP05SubPaymtRefUSDAmt,BP06SubPaymtPayUSDAmt,BP06SubPaymtRefUSDAmt,BP07SubPaymtPayUSDAmt,BP07SubPaymtRefUSDAmt,BP08SubPaymtPayUSDAmt,BP08SubPaymtRefUSDAmt,BP09SubPaymtPayUSDAmt,BP09SubPaymtRefUSDAmt,BP10SubPaymtPayUSDAmt,BP10SubPaymtRefUSDAmt,BP11SubPaymtPayUSDAmt,BP11SubPaymtRefUSDAmt,BP12SubPaymtPayUSDAmt,BP12SubPaymtRefUSDAmt,Customers who rated Expert,Experiment A (Rating bar)
110811896,Desktop,PPC,11/23/20,HI,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Control
110962048,Mobile,PPC,12/10/20,Pets,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Not an Experiment
111048811,Desktop,PPC,12/19/20,HI,1.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Not an Experiment
111080614,Desktop,PPC,12/23/20,HI,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Not an Experiment
110955157,Desktop,SEO,12/9/20,HI,2.4,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Not an Experiment
110830444,Desktop,PPC,11/25/20,HI,2.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Control
111041888,Desktop,SEO,12/19/20,HI,2.4,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Control
110690017,Desktop,PPC,11/10/20,Pets,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Not an Experiment
111006206,Mobile,PPC,12/15/20,Pets,1.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Not an Experiment
110780713,Desktop,PPC,11/19/20,HI,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Not an Experiment
